Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3DwuVMXAsA4iVyE42f752B,"オレンジ","オレンジ","Lil'B",2008-06-18,306160,35,false,1255249216,2021-01-27T02:13:02Z,"anime,j-rock","Sony Music Labels Inc.",0.498,0.706,0,-4.504,0,0.0275,0.00595,0.000163,0.108,0.714,167.891,4
spotify:track:02cIqYTYys4M1RBFiBKIEt,"Life is Like a Boat","Rie fu","Rie fu",2005-01-19,300306,49,false,1255249216,2021-01-27T02:13:39Z,"anime","Sony Music Direct (Japan) Inc.",0.666,0.371,11,-8.471,1,0.0274,0.502,0.0000455,0.211,0.468,100.258,4
spotify:track:3DT8akVBM4igVp9sdnf9jv,"サンキュー！！","家宝 〜THE BEST OF HOME MADE 家族〜","Home Made Kazoku",2014-01-08,254226,38,false,1255249216,2021-01-27T02:14:58Z,"anime,j-rock,j-pop","Sony Music Labels Inc.",0.754,0.907,11,-6.113,0,0.0583,0.486,0,0.131,0.683,111.977,4
spotify:track:4wAHfAaREe5m3b2ED4f1ii,"LIFE","From Me To You","YUI",2006-02-22,241373,0,false,1255249216,2021-01-27T02:16:08Z,"anime,j-pop,j-rock","Sony Music Records",0.606,0.911,8,-2.347,0,0.0388,0.0376,0.00000691,0.0764,0.672,114.976,4
spotify:track:0jMK77q1Jf0NcFsdNAtqna,"HANABI","桜咲く街物語","Ikimonogakari",2007-03-07,265120,0,false,1255249216,2021-01-27T02:16:23Z,"anime,j-pop,j-rock","Epic Records Japan",0.445,0.957,7,-2.213,1,0.169,0.0156,0,0.0735,0.497,167.046,4
spotify:track:48unUqNPkVVLtYHQLArPN6,"ヒトヒラのハナビラ","ハイド．ランジアが咲いている","Stereopony",2009-06-17,213826,49,false,1255249216,2021-01-27T02:16:37Z,"j-rock,anime,j-pop","Sony Music Direct (Japan) Inc.",0.656,0.875,3,-3.285,0,0.0326,0.23,0.00122,0.109,0.776,140.043,4
spotify:track:4CMJRH4nw4xbMMS6xHTJNd,"種をまく日々","The Best of Kousuke Atari (China Version)","Kousuke Atari",2016-04-22,336546,18,false,1255249216,2021-01-27T02:16:46Z,"j-pop,anime","Sony Music Labels Inc.",0.463,0.729,4,-3.362,1,0.0334,0.131,0.0000777,0.124,0.42,141.912,4
spotify:track:6pXikUvuUL4V1RXiS5EH8a,"happypeople","Happy People","Skoop On Somebody",2005-09-07,227066,29,false,1255249216,2021-01-27T02:16:59Z,"j-r&b,anime","Sony Music Labels Inc.",0.776,0.882,7,-4.997,1,0.0478,0.0424,0,0.265,0.797,110.002,4
spotify:track:1ROFQeuE17zDgMmcSByXEw,"桜日和","PIANO&BEST","Mai Hoshimura",2009-03-11,262760,19,false,1255249216,2021-01-27T02:17:09Z,"anime","Sony Music Direct (Japan) Inc.",0.417,0.622,3,-4.421,1,0.0324,0.307,0,0.139,0.376,171.722,4
spotify:track:3PoHh1WB5LvtCdnjFAGPhx,"橙","Seimeiryoku (Forever Edition)","Chatmonchy",2006,203040,0,false,1255249216,2021-01-27T02:17:24Z,"j-rock,j-pop","Sony Music Labels Inc.",0.445,0.596,7,-1.961,1,0.0333,0.0223,0.00339,0.107,0.529,76.917,4
spotify:track:3yyzLkPAH8Go8yiCHDUOUZ,"Sky chord〜大人になる君へ〜","Catch!","Shion Tsuji",2010-05-26,265000,35,false,1255249216,2021-01-27T02:17:47Z,"anime","Sony Music Direct (Japan) Inc.",0.488,0.592,3,-3.537,1,0.0289,0.136,0,0.0653,0.59,168.092,1
spotify:track:6WllIZ5BpLQLZ7o9kRwTsg,"ギャロップ","ギャロップ","pe'zmoku",2008-07-09,293000,26,false,1255249216,2021-01-27T02:18:01Z,"anime,j-rock","Sony Music Labels Inc.",0.539,0.986,2,-1.671,1,0.156,0.0199,0,0.0408,0.631,123.943,4
