Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4QH5Dw1Rmzf3czMvsHRD7B,"courage","Haruka Tomatsu Best Selection Sunshine","Haruka Tomatsu",2008,253160,0,false,scjo4o2kz9o5tj44pzr24cqzo,2020-03-03T00:01:48Z,"anime,j-pop","MusicRay'n Inc.",0.568,0.939,4,-1.577,0,0.0446,0.0657,0,0.368,0.676,97.937,4
spotify:track:0tw4GLi5c36owjRA26mJf2,"Overfly","Oversky","Luna Haruna",2013-08-21,267506,0,false,scjo4o2kz9o5tj44pzr24cqzo,2020-03-03T00:01:52Z,"anime,j-pop","Sony Music Labels Inc.",0.583,0.858,8,-3.494,1,0.0449,0.0799,0.000405,0.0923,0.348,133.942,4
spotify:track:66lF1QWtLZXJofJ3x388RV,"バイバイ YESTERDAY","バイバイ YESTERDAY","3年E組うた担(渚&茅野&業&磯貝&前原)",2016-05-25,248800,55,false,scjo4o2kz9o5tj44pzr24cqzo,2021-12-09T10:57:26Z,"anime","avex pictures",0.591,0.945,0,-2.483,1,0.0675,0.0389,0,0.214,0.96,180.048,4
spotify:track:4sYAOOQIVPQwNf9bFKc4Q9,"No Game No Life Opening","No Game No Life Opening","Amy B",2018-10-06,91811,43,false,scjo4o2kz9o5tj44pzr24cqzo,2021-12-09T10:43:19Z,"anime","Amy B",0.54,0.934,11,-3.183,0,0.0913,0.105,0,0.0814,0.672,146.979,4
spotify:track:1YlmNQyqgqmih1o96NGCZZ,"静寂のアポストル","静寂のアポストル","JAM Project",2019-04-24,218695,0,false,scjo4o2kz9o5tj44pzr24cqzo,2021-12-09T10:42:36Z,"anime,j-rock","Lantis",0.282,0.916,10,-2.113,0,0.0884,0.000327,0,0.216,0.518,102.968,4
spotify:track:3QH93rAs2Od0Gbxs2fn4gI,"GO CRY GO","Hello New World","OxT",2018-09-12,219160,37,false,scjo4o2kz9o5tj44pzr24cqzo,2021-12-09T10:57:30Z,"anime,j-rock","KADOKAWA",0.491,0.979,9,-3.197,1,0.0982,0.0134,0,0.32,0.4,101.031,4
spotify:track:3CxPHzTcrXOMNUq9XOtX5P,"Startear","Candy Lips","Luna Haruna",2015-03-25,302813,0,false,scjo4o2kz9o5tj44pzr24cqzo,2020-03-03T00:02:00Z,"anime,j-pop","Sony Music Labels Inc.",0.526,0.918,4,-3.19,1,0.0635,0.018,0.00000125,0.175,0.492,134.017,4
spotify:track:5nOMEgkii0peE0kBg2ZqcA,"Resonance","Resonance","NateWantsToBattle",2019-10-09,209818,37,false,scjo4o2kz9o5tj44pzr24cqzo,2021-12-09T10:43:28Z,"anime","Give Heart Records",0.403,0.989,1,-3.59,0,0.144,0.0000333,0,0.258,0.444,165.015,4
spotify:track:0b7b3OR4cKHo08rdpLHofM,"Guren No Yumiya","Jiyuu E No Shingeki","Linked Horizon",2013-12-09,316933,0,false,scjo4o2kz9o5tj44pzr24cqzo,2020-03-03T00:02:07Z,"anime,j-pop","Pony Canyon, Inc.",0.325,0.99,1,-3.884,0,0.248,0.0689,0.0000043,0.585,0.0841,180.677,4
spotify:track:4nDekDoHfxupPanypVYsOW,"99.9 (Mob Psycho 100 II)","99.9 (Mob Psycho 100 II)","Miura Jam",2019-02-03,183355,33,false,scjo4o2kz9o5tj44pzr24cqzo,2021-12-09T10:42:38Z,"anime","738190 Records DK",0.359,0.906,3,-3.243,0,0.121,0.0401,0.00000362,0.226,0.762,82.186,4
spotify:track:28DlaPydCnrs8NxYOnUPZ8,"ポラリス","Q.E.D","BLUE ENCOUNT",2020-11-18,224213,65,false,scjo4o2kz9o5tj44pzr24cqzo,2021-12-09T10:57:37Z,"anime,j-rock,j-pop","Sony Music Labels Inc.",0.534,0.941,8,-2.561,1,0.077,0.00204,0.00615,0.102,0.573,95.008,4
spotify:track:01HcvUGKvU9Czl4z3A4sQI,"Deep In Abyss - Anime Intro Version","Deep In Abyss (Made In Abyss OST)","Miyu Tomita;Mariye Ise",2019-04-11,223710,48,false,scjo4o2kz9o5tj44pzr24cqzo,2021-12-09T10:43:36Z,"anime","Fermanferma",0.595,0.849,6,-4.073,0,0.0338,0.0127,0.00000471,0.36,0.57,134.976,4
spotify:track:2lV9zuC3ghy7zclCGnvK6E,"The Other Self (From ""Kuroko no Basket"")","The Other Self (From ""Kuroko no Basket"")","Miura Jam",2019-08-09,92095,0,false,scjo4o2kz9o5tj44pzr24cqzo,2020-03-03T00:02:12Z,"anime","Miura Jam",0.378,0.929,2,-4.879,1,0.157,0.00675,0.00000144,0.326,0.19,148.13,4
spotify:track:1Gqpa08T7eBAvPQj9O9L2Q,"Just Awake","All That We Have Now","Fear, and Loathing in Las Vegas",2012-08-08,218573,1,false,scjo4o2kz9o5tj44pzr24cqzo,2020-03-03T00:02:24Z,"anime,j-rock","VAP",0.357,0.98,5,-1.286,0,0.153,0.00143,0,0.196,0.567,191.147,4
spotify:track:4MTgIH5OZQHAbdBWgbKSAb,"MUKANJYO","MUKANJYO","Survive Said The Prophet",2019-08-02,192400,62,false,scjo4o2kz9o5tj44pzr24cqzo,2021-12-09T10:43:40Z,"anime,j-rock","Sony Music Labels Inc.",0.468,0.961,7,-4.082,1,0.114,0.00364,0,0.226,0.31,94.926,4
spotify:track:0ekyKwGvJYXo03wAitRlwv,"Hero's Come Back!!（第1話〜第30話）","熱烈！アニソン魂 THE BEST カバー楽曲集 TVアニメシリーズ「NARUTO」 vol.5 [疾風伝 第1話～第281話 主題歌OP 編]","Junichi Sakamoto",2014-11-14,272281,42,false,scjo4o2kz9o5tj44pzr24cqzo,2021-12-09T10:42:43Z,"anime","fyto inc.",0.686,0.906,2,-3.216,1,0.0369,0.0661,0,0.0978,0.633,104.046,4
spotify:track:3oTaHMklchPDDekuw1lfIw,"PHOENIX","PHOENIX","BURNOUT SYNDROMES",2020-02-12,246786,0,false,scjo4o2kz9o5tj44pzr24cqzo,2020-03-03T00:02:28Z,"anime,j-rock,j-pop","Sony Music Labels Inc.",0.472,0.944,0,-1.012,1,0.0733,0.107,0,0.33,0.637,137.146,4
spotify:track:1Rcu3RBBSWWYSMCSfULM63,"Share the light","Share the Light","Run Girls, Run!",2019-11-27,245533,35,false,scjo4o2kz9o5tj44pzr24cqzo,2020-03-03T00:02:33Z,"anime","DIVEIIentertainment",0.572,0.918,7,-3.736,0,0.131,0.203,0.0000242,0.325,0.35,180.018,4
spotify:track:4YycgLIc3P6oQRY5NiOybl,"THE HERO !! ～怒れる拳に火をつけろ～","AREA Z","JAM Project",2016-06-29,229742,1,false,scjo4o2kz9o5tj44pzr24cqzo,2020-03-03T00:02:46Z,"anime,j-rock","Lantis",0.467,0.967,2,-3.528,1,0.116,0.0000468,0,0.195,0.177,130.175,4
spotify:track:7acjxFn1oZOn8QAv43DOcN,"Jungle P (第326-372話 OP)","熱烈！アニソン魂 THE BEST カバー楽曲集 TVアニメシリーズ「ONE PIECE」vol.1","Yuuki Okamoto",2015-11-12,195310,45,false,scjo4o2kz9o5tj44pzr24cqzo,2020-03-03T00:02:57Z,"anime","fyto inc.",0.593,0.937,6,-1.707,1,0.0797,0.0774,0,0.359,0.89,144.982,4
spotify:track:6LoC0DAzeIET4iA9gXG2Ly,"HERO A","TVアニメ『僕のヒーローアカデミア』オリジナル・サウンドトラック","Yuki Hayashi",2016-07-13,195666,51,false,scjo4o2kz9o5tj44pzr24cqzo,2020-03-03T00:03:01Z,"anime,soundtrack","TOHO animation RECORDS",0.55,0.958,6,-5.292,0,0.0678,0.0227,0.129,0.128,0.595,120.052,4
spotify:track:4grrgOFDvIVvw807GmqT1X,"HEROES","Pathos and Ethos","Brian the Sun",2017-01-11,181360,0,false,scjo4o2kz9o5tj44pzr24cqzo,2020-03-03T00:03:05Z,"anime,j-rock,japanse indie","Sony Music Labels Inc.",0.526,0.94,2,-3.864,1,0.066,0.00742,0,0.268,0.574,99.059,4
spotify:track:5P8lyudWE7HQxb4ludLbEm,"恋愛サーキュレーション","Utamonogatari Special Edition (Original Soundtrack)","物語シリーズ",2018-11-02,255040,65,false,scjo4o2kz9o5tj44pzr24cqzo,2020-03-03T00:03:09Z,"anime,j-pop","NITRON concepts",0.814,0.785,1,-5.679,0,0.0396,0.0524,0.00111,0.111,0.941,120.009,4
spotify:track:1tjOClAkdMxDfYPO0xvGbG,"THE DAY","Butterfly Effect","PornoGraffitti",2017-10-25,241626,65,false,scjo4o2kz9o5tj44pzr24cqzo,2020-03-03T00:03:14Z,"anime,j-pop,j-rock","Sony Music Labels Inc.",0.512,0.933,1,-4.759,0,0.0738,0.000761,0,0.342,0.465,92.998,4
spotify:track:1g0SlTCGN9j3OicWHfSKEn,"the WORLD","the WORLD Ruler","NIGHTMARE",2007-02-28,228120,0,false,scjo4o2kz9o5tj44pzr24cqzo,2020-03-03T00:03:17Z,"visual kei,anime,j-rock","VAP",0.531,0.904,11,-3.869,0,0.0419,0.00353,0,0.328,0.753,94.999,4
spotify:track:2bLASFaUQYTFbmD9etuOQv,"database","Tales of Purefly","MAN WITH A MISSION;Takuma",2014-03-12,238013,0,false,scjo4o2kz9o5tj44pzr24cqzo,2020-03-03T00:03:22Z,"anime,j-rock,j-pop","Sony Music Labels Inc.",0.461,0.969,2,-3.269,1,0.0861,0.0000738,0,0.362,0.807,177.012,4
spotify:track:7B8VwAAFRD9gtquCml2tFe,"Skyreach","Various BLUE","Sora Amamiya",2016-09-23,267226,0,false,scjo4o2kz9o5tj44pzr24cqzo,2020-03-03T00:03:26Z,"","MusicRay'n Inc.",0.358,0.964,5,-2.245,0,0.11,0.00169,0.00356,0.334,0.565,184.105,4
spotify:track:1p0WZg4NXoNVGj2AuoLJe7,"熱情のスペクトラム","Chou Ikimonobakari Tennen Kinen Members Best Selection","Ikimonogakari",2006,223613,65,false,scjo4o2kz9o5tj44pzr24cqzo,2020-03-03T00:03:30Z,"anime,j-pop,j-rock","Sony Music Labels Inc.",0.479,0.902,11,-2.665,0,0.0439,0.0593,0,0.394,0.748,159.975,4
spotify:track:5sqkarfxe7UejHTlCtHCLS,"Let Me Hear","Feeling of Unity","Fear, and Loathing in Las Vegas",2015-09-30,225546,0,false,scjo4o2kz9o5tj44pzr24cqzo,2020-03-03T00:03:35Z,"anime,j-rock","VAP",0.175,0.995,6,1.023,0,0.211,0.000145,0.0000025,0.214,0.303,184.066,4
spotify:track:1twa0dzuIetu1GmB1aEUiX,"Golden Time Lover (De ""FullMetal Alchemist Brotherhood"")","Golden Time Lover (De ""FullMetal Alchemist Brotherhood"")","Tragicômico",2018-11-27,331295,25,false,scjo4o2kz9o5tj44pzr24cqzo,2021-12-09T10:57:59Z,"anime","Tragicômico",0.684,0.953,8,-5.622,1,0.0701,0.0368,0,0.328,0.784,124.998,4
spotify:track:3mScGCzxiXA9OaHdBeuk7O,"crossing field","LANDSPACE","LiSA",2013-10-30,248946,2,false,scjo4o2kz9o5tj44pzr24cqzo,2020-03-03T00:03:39Z,"anime,j-pop,j-rock","NITRON concepts",0.447,0.983,5,-2.281,1,0.268,0.0157,0,0.276,0.317,179.072,4
spotify:track:0GLyqTysS0DFoeKjURtB8s,"unravel","Fantastic Magic","TK from Ling tosite sigure",2014-08-27,238360,1,false,scjo4o2kz9o5tj44pzr24cqzo,2020-03-03T00:03:42Z,"anime,j-rock,j-pop","NITRON concepts",0.507,0.889,7,-2.755,0,0.086,0.0495,0,0.0983,0.333,135.021,4
spotify:track:6QpWIlT6WqmwSYpR9Tjb13,"ピースサイン - Peace Sign","Peace Sign - EP","Kenshi Yonezu",2017-06-21,237280,0,false,scjo4o2kz9o5tj44pzr24cqzo,2020-03-03T00:03:47Z,"j-pop,anime,j-rock","NITRON concepts",0.577,0.941,8,-2.96,1,0.0822,0.00782,0,0.325,0.556,100.026,4
