TIME,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0.000000000,0.00308797,0.00319215,0.00303747,0.00250569,0.00174769,0.00105326,0.00157557,0.00180793,0.00169094,0.00156552,0.00140196,0.00105957
0.042666667,0.0254208,0.0323275,0.0390107,0.0366601,0.0299074,0.026607,0.0280183,0.027849,0.0229677,0.020697,0.0188404,0.0172956
0.085333333,0.0924935,0.103997,0.0893708,0.0548484,0.0698866,0.0883377,0.0746617,0.0841969,0.0739548,0.109991,0.106398,0.099833
0.128000000,0.08585,0.0825662,0.0570127,0.0605138,0.0484905,0.0457482,0.0583217,0.114307,0.0880988,0.0761459,0.0652222,0.0719107
0.170666667,0.0787981,0.088391,0.044277,0.0164033,0.0279471,0.0430054,0.0272795,0.0375733,0.0558347,0.0362689,0.0530282,0.0673647
0.213333333,0.0664279,0.0832784,0.0439349,0.0265685,0.0270733,0.0348668,0.01989,0.0349317,0.0702495,0.0418721,0.0438395,0.051962
0.256000000,0.0621679,0.0894368,0.0628792,0.127032,0.0956847,0.0530328,0.0287837,0.0697671,0.135449,0.0753812,0.0520637,0.038777
0.298666667,0.0490913,0.0800066,0.0633119,0.0904457,0.0613329,0.0323694,0.0279996,0.0737712,0.119371,0.0433838,0.0378385,0.0476233
0.341333333,0.0407021,0.079508,0.0686581,0.0893069,0.0620926,0.0431508,0.014278,0.0570509,0.112726,0.07844,0.0337151,0.0449581
0.384000000,0.075536,0.0970698,0.0915833,0.104533,0.0674522,0.0628298,0.0381769,0.0615029,0.0933853,0.0662017,0.0750412,0.0631013
0.426666667,0.0781299,0.105811,0.0931994,0.116862,0.0619789,0.0396245,0.0357466,0.0755763,0.153429,0.0868844,0.0416718,0.0352515
0.469333333,0.0823391,0.106426,0.0667676,0.144027,0.0829015,0.0227979,0.0212519,0.0490873,0.136092,0.0679393,0.0577173,0.0417717
0.512000000,0.0542571,0.0945428,0.0747943,0.147962,0.0791537,0.0281219,0.0187177,0.0641853,0.138757,0.0706303,0.0467728,0.0419428
0.554666667,0.0495735,0.0870823,0.0869921,0.0920938,0.0644107,0.0450836,0.0786916,0.146627,0.10245,0.0414826,0.0310268,0.0412968
0.597333333,0.0570866,0.0854513,0.0533205,0.0419629,0.039233,0.0227525,0.00997453,0.0375186,0.0656983,0.0408259,0.0309879,0.03161
