TIME,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0.000000000,0.00333739,0.00340857,0.00326744,0.00264722,0.00173158,0.0010181,0.0015761,0.00172161,0.00155212,0.0014897,0.00136736,0.00100506
0.046439909,0.0333316,0.0409541,0.048914,0.0457822,0.037197,0.0321287,0.0324,0.0311282,0.0290324,0.0256747,0.0245289,0.0236358
0.092879819,0.0946251,0.109108,0.0774032,0.0559485,0.0575825,0.0795356,0.0459889,0.0674956,0.0758689,0.075389,0.0493147,0.0669409
0.139319728,0.084433,0.0819748,0.0567759,0.0359397,0.0359686,0.0374878,0.0657503,0.119952,0.109324,0.0550872,0.0382153,0.0389795
0.185759637,0.0686198,0.0791838,0.0367719,0.0208237,0.0303791,0.0432949,0.0270171,0.0311425,0.0465911,0.0419157,0.0561476,0.0590818
0.232199546,0.0739894,0.0952839,0.049391,0.0291419,0.025489,0.0435814,0.027504,0.0382559,0.0800304,0.0796021,0.0857816,0.0570385
0.278639456,0.0495062,0.0764416,0.0723595,0.10607,0.0757137,0.0447187,0.0230616,0.0750196,0.152701,0.0792263,0.037172,0.0368861
0.325079365,0.0518248,0.0842346,0.0725404,0.0878806,0.0543114,0.046584,0.0272496,0.0668229,0.0927137,0.0506389,0.0597925,0.0584044
0.371519274,0.0560934,0.0855351,0.0793342,0.0943175,0.0639599,0.0530627,0.031286,0.0625305,0.104957,0.0687588,0.0385284,0.0363314
0.417959184,0.0833115,0.115157,0.0773079,0.115174,0.071441,0.0450823,0.048136,0.0820259,0.159757,0.085667,0.0482668,0.044872
0.464399093,0.0860664,0.0924042,0.102108,0.153913,0.0864806,0.0196552,0.0207456,0.0612518,0.142254,0.0866941,0.0540265,0.0659486
0.510839002,0.0544419,0.0828886,0.100714,0.150909,0.0751426,0.0299854,0.0167937,0.0618751,0.135275,0.0565814,0.0377724,0.0475302
0.557278912,0.0566,0.0918629,0.083277,0.101886,0.0648183,0.0443725,0.072911,0.127278,0.102805,0.041762,0.0293614,0.0444748
0.603718821,0.0598212,0.0879534,0.0497229,0.031146,0.0283415,0.0166835,0.0152289,0.0380598,0.0619698,0.0249363,0.0406809,0.0526408
0.650158730,0.0613898,0.0727741,0.04352,0.0340112,0.02632,0.0263942,0.0197771,0.0367113,0.0758557,0.0409215,0.0221431,0.0334113
0.696598639,0.0979859,0.095253,0.0628135,0.0696428,0.0420895,0.041204,0.0380027,0.0465883,0.0914355,0.0592272,0.0388782,0.0399412
0.743038549,0.0893968,0.0718272,0.0573494,0.080129,0.0454446,0.026619,0.030304,0.077442,0.165308,0.0853262,0.0364897,0.0428943
0.789478458,0.0890253,0.1112,0.0623525,0.0664752,0.0419374,0.0224849,0.019367,0.0360595,0.0588768,0.0304116,0.0261163,0.0291184
0.835918367,0.0543839,0.0990105,0.0776111,0.0739076,0.032605,0.0290574,0.0269585,0.0291353,0.0644242,0.0407869,0.0280876,0.0309854
0.882358277,0.0794357,0.105255,0.0788004,0.108952,0.056374,0.0185687,0.0103768,0.0484737,0.122236,0.0893819,0.0482092,0.0571939
0.928798186,0.0587176,0.0977877,0.0616633,0.0918697,0.0562669,0.0239285,0.0237494,0.0826183,0.185262,0.0961533,0.0339788,0.0202003
0.975238095,0.0709532,0.106408,0.0404552,0.112797,0.0667875,0.0287019,0.0145678,0.0672637,0.16021,0.0837189,0.0342144,0.0363908
1.021678005,0.108488,0.0999305,0.0936539,0.13933,0.0789566,0.0609599,0.0512188,0.0954673,0.1802,0.104043,0.0404066,0.0512001
1.068117914,0.0616372,0.073504,0.0769934,0.099887,0.0505213,0.034529,0.0256534,0.0440115,0.0672666,0.0508527,0.030217,0.018695
1.114557823,0.0553582,0.0654035,0.0550119,0.0833467,0.0416169,0.0236925,0.0160183,0.0244848,0.0520043,0.025851,0.0117288,0.0223501
1.160997732,0.0531476,0.0719436,0.0574564,0.0762325,0.0359489,0.0300082,0.0235091,0.0309983,0.0449719,0.0281509,0.0110461,0.021615
1.207437642,0.0485378,0.0737405,0.0580368,0.0931981,0.061991,0.0429712,0.0322911,0.0537937,0.138948,0.0642329,0.0255767,0.0117131
1.253877551,0.0411529,0.0769805,0.0967243,0.127569,0.0536167,0.0456461,0.0397751,0.0603602,0.125248,0.0576959,0.0254226,0.0209516
1.300317460,0.0616607,0.0594685,0.0827229,0.153959,0.0979156,0.0811919,0.0555987,0.0768943,0.112134,0.0622447,0.0326572,0.0360088
1.346757370,0.0852761,0.0786616,0.0742332,0.116504,0.105987,0.0577431,0.0576465,0.0849638,0.103239,0.078193,0.0699284,0.0482391
1.393197279,0.066507,0.0679843,0.0995613,0.136334,0.0811703,0.0249569,0.0348005,0.0707494,0.0964904,0.0794953,0.0850884,0.0482966
1.439637188,0.0315861,0.0320577,0.0721725,0.142799,0.0823916,0.0230917,0.0223625,0.0404321,0.0437428,0.0334347,0.0533895,0.0429563
1.486077098,0.0322153,0.019035,0.0836105,0.152671,0.0795911,0.0286103,0.0170455,0.0278467,0.0429851,0.0538095,0.0676945,0.0573987
1.532517007,0.0209633,0.0272056,0.0441305,0.118691,0.0566414,0.0212415,0.0299148,0.0534274,0.123205,0.0964864,0.105573,0.0568983
1.578956916,0.0247596,0.0207153,0.058473,0.12496,0.0754683,0.0288372,0.0244694,0.0751839,0.117782,0.0717477,0.0806817,0.0513467
1.625396825,0.0427626,0.0594804,0.0742709,0.128325,0.0773704,0.0365568,0.0315664,0.0600722,0.112334,0.0804657,0.0986111,0.0806501
1.671836735,0.0655862,0.0715345,0.0600212,0.0799489,0.0625523,0.036978,0.0342497,0.0681435,0.096511,0.0823931,0.0739869,0.0361755
1.718276644,0.0469033,0.0391102,0.0378543,0.0623393,0.0578922,0.0367864,0.0477622,0.0963484,0.0927139,0.0674098,0.113442,0.0594307
1.764716553,0.0236094,0.0257935,0.0347883,0.0589259,0.0482331,0.0294277,0.0239305,0.038583,0.0495102,0.0486956,0.115064,0.0681685
1.811156463,0.0315735,0.0162742,0.0548733,0.106189,0.0565523,0.0218244,0.0217011,0.0593524,0.136648,0.095763,0.108431,0.0837383
1.857596372,0.0119828,0.0227139,0.0780677,0.155337,0.0850024,0.0279311,0.0262174,0.0501386,0.115905,0.0494716,0.0929735,0.0550017
